MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,Temperature,Humidity,Rainfall
7,2,4,6,5,5,6,6,2,4,5,2,5,3,4,2,8,3,4,5,0.44,14.11,99.96,3.6
7,4,4,4,10,3,7,2,6,7,5,4,5,2,6,1,3,4,4,5,0.465,9.41,99.96,2
4,7,7,6,5,5,6,6,2,8,6,3,3,4,7,6,4,5,5,7,0.53,14.8,99.96,2
5,2,6,4,5,3,7,3,5,4,9,4,8,5,1,7,3,3,4,6,0.47,12.95,94.1,31.6
5,6,2,5,2,11,2,4,6,4,3,1,6,1,8,8,4,9,4,6,0.485,20.66,69.68,31.6
7,9,8,8,7,2,2,5,8,7,6,4,11,7,4,2,6,3,3,1,0.55,9.75,99.96,21
5,8,8,9,8,5,6,3,4,4,6,5,4,4,9,5,10,8,4,6,0.605,9.98,99.96,21
3,6,8,5,6,5,7,6,2,3,6,6,6,2,3,6,2,8,4,5,0.495,5.28,99.96,7.6
6,11,4,1,5,6,4,2,1,1,6,3,6,6,5,6,5,9,2,7,0.48,5.61,97.03,7.6
2,1,7,4,7,3,6,4,3,2,7,7,4,8,3,5,9,5,6,4,0.485,7.83,99.96,3.1
9,4,2,6,4,5,8,6,5,5,4,2,6,3,5,1,6,1,2,5,0.445,11.61,97.52,3.1
2,5,5,1,5,7,4,7,9,5,6,5,2,5,4,3,6,5,2,6,0.47,10.53,98.49,2.8
6,10,4,9,5,2,4,3,7,3,7,4,5,4,8,6,6,4,5,8,0.55,26.33,58.45,2.8
7,2,3,2,3,5,5,6,5,6,5,5,2,4,2,5,3,10,9,8,0.485,15.03,88.24,1.8
8,8,9,4,5,5,4,9,7,2,9,3,8,3,4,3,3,8,6,1,0.545,13.76,90.68,1.8
6,11,5,7,3,6,9,5,6,7,3,7,4,4,4,4,6,4,8,6,0.575,6.54,99.96,4.8
2,4,6,5,4,6,5,6,4,8,7,2,4,5,2,6,5,5,0,8,0.47,7.27,99.96,4.8
3,6,7,5,1,6,7,4,2,4,6,3,7,4,4,4,1,5,4,3,0.43,5.47,99.96,3.7
4,6,4,8,7,4,4,8,2,7,5,5,3,8,7,8,2,6,2,3,0.515,5.78,99.96,3.7
4,7,8,2,2,9,6,3,4,3,3,8,3,4,6,6,9,1,9,6,0.515,10.45,99.96,0.1
3,7,8,7,1,1,7,5,7,4,3,6,6,3,9,4,7,6,13,6,0.565,6.45,99.96,0.1
11,4,4,7,5,9,8,5,4,4,8,3,6,4,4,5,3,3,4,10,0.555,9.26,99.96,20.2
4,6,4,5,7,9,8,3,6,4,2,7,5,5,6,7,6,6,7,5,0.56,7.5,99.47,20.2
5,3,1,3,7,4,5,5,3,4,9,9,4,9,1,8,7,6,5,3,0.505,9.28,99.47,17.8
4,4,4,6,7,5,8,6,7,9,8,11,7,6,9,4,6,4,6,6,0.635,9.35,98.98,17.8
4,4,3,5,9,10,2,4,7,6,9,8,6,5,5,2,6,4,7,3,0.545,13.51,99.96,1.6
3,5,5,3,5,3,5,5,3,6,3,5,4,5,3,5,4,4,5,4,0.425,7.8,96.05,1.6
9,6,6,7,8,10,7,5,6,5,4,4,6,7,5,6,5,5,3,5,0.595,13.57,99.96,0.8
2,6,3,2,0,3,6,2,3,5,8,5,3,7,8,5,3,2,12,7,0.46,8.08,97.03,0.8
2,4,6,3,7,5,5,2,3,9,3,3,8,3,3,6,6,7,3,6,0.47,6.3,99.96,4.6
3,9,3,6,1,6,2,3,3,8,3,4,4,3,8,5,5,6,3,5,0.45,19.59,54.06,4.6
3,7,10,5,4,3,4,5,7,3,6,3,2,6,2,4,6,5,6,3,0.47,7.17,99.96,3.3
5,3,6,4,5,3,6,5,4,4,3,8,6,6,6,7,3,4,7,4,0.495,9.86,99.96,3.3
12,6,5,4,3,7,8,8,4,4,4,4,3,5,7,4,3,4,9,5,0.545,7.41,99.96,8.8
6,6,1,7,5,6,6,8,5,8,8,8,5,5,6,4,4,6,12,6,0.61,5.63,99.96,8.8
4,4,5,7,6,3,6,6,5,6,6,4,3,7,5,7,5,5,3,3,0.5,13.08,99.96,5.4
1,5,11,3,5,4,3,7,10,9,4,5,9,4,4,2,6,11,4,2,0.545,5.3,99.96,5.4
3,6,5,3,3,5,6,7,4,10,5,10,7,7,2,4,6,10,3,7,0.565,7.48,99.96,0.1
5,7,10,4,7,6,3,8,4,6,5,6,4,6,3,3,2,2,3,3,0.485,5.49,99.96,0.1
4,6,6,0,4,7,3,8,3,4,2,8,3,6,6,7,5,10,11,6,0.545,22.1,66.27,2.3
5,10,3,7,9,9,5,6,4,6,3,6,6,9,4,7,6,2,5,4,0.58,21.69,70.66,2.3
4,3,7,6,4,5,5,2,2,2,5,7,5,3,6,5,4,6,7,8,0.48,12.84,99.96,2
4,2,5,1,3,6,7,8,3,5,4,2,2,6,3,4,5,4,8,2,0.42,25.03,61.87,2
6,6,6,4,5,6,3,7,6,4,4,3,4,3,5,6,5,5,4,1,0.465,8.98,91.17,1.8
2,2,5,5,3,3,1,7,2,5,7,5,9,5,9,8,11,8,7,6,0.55,9.61,86.29,1.8
2,5,5,4,6,10,1,4,3,3,2,5,3,8,6,6,5,4,7,4,0.465,6.61,95.07,0.6
7,4,4,6,7,7,5,2,6,6,4,6,6,7,6,8,7,5,7,4,0.57,16.33,68.71,0.6
6,7,5,1,6,5,2,3,9,7,6,4,7,5,5,5,4,6,3,6,0.51,16.01,73.59,21.4
3,7,6,4,3,8,2,4,7,5,8,7,3,3,6,5,5,3,2,5,0.48,15.65,99.96,21.4
5,3,1,3,6,5,3,3,4,7,7,5,9,1,2,7,6,8,5,5,0.475,15.72,60.41,13.4
6,7,8,2,7,6,6,3,5,4,1,6,8,9,5,6,4,4,4,7,0.54,11.02,75.54,13.4
6,4,6,5,6,4,7,2,8,4,8,6,6,4,6,5,7,3,4,8,0.545,8.01,85.8,2.2
6,9,4,4,2,4,1,6,9,3,4,5,5,3,4,5,2,5,4,5,0.45,10.39,80.43,2.2
3,4,9,8,6,6,9,5,10,1,8,2,2,7,6,4,6,3,6,4,0.545,9.31,93.12,2
12,5,6,3,3,7,3,3,6,4,7,5,7,8,3,2,4,8,7,8,0.555,11.62,66.27,2
6,9,5,9,4,7,4,5,5,7,3,7,7,6,4,4,1,4,8,8,0.565,13.65,99.96,7.4
6,4,6,2,5,9,9,4,5,3,3,5,5,11,3,2,4,6,4,7,0.515,14.6,99.96,7.4
4,5,4,8,3,6,3,3,5,5,8,6,5,6,6,6,5,8,2,4,0.51,18.12,99.96,5.4
5,6,10,6,3,5,3,4,8,10,6,8,5,5,7,9,6,9,3,4,0.61,16,95.56,5.4
8,5,5,6,4,3,3,6,7,6,1,10,4,2,5,1,6,9,1,2,0.47,13.65,99.96,3.4
2,6,4,2,3,6,6,2,6,5,3,5,5,6,2,3,8,9,4,8,0.475,12.84,99.96,3.4
9,7,4,8,3,7,5,5,1,9,3,5,6,4,7,4,6,3,8,6,0.55,17.56,77.01,3.3
6,7,9,3,6,2,4,3,1,4,4,2,10,2,10,2,3,9,4,12,0.515,17.18,82.87,3.3
3,2,1,2,5,6,5,0,2,4,3,6,4,2,4,7,3,4,5,3,0.355,16.3,79.94,3.2
3,3,1,8,3,4,7,9,4,6,4,3,6,6,3,2,6,0,9,7,0.47,14.34,84.82,3.2
5,3,7,7,4,4,4,3,10,11,2,6,4,4,8,5,9,6,8,4,0.57,13.05,89.21,1
2,6,6,3,4,1,6,6,5,4,4,2,5,3,3,4,5,4,7,5,0.425,13.34,96.05,1
9,6,8,8,8,6,4,3,6,4,7,4,10,4,4,10,8,5,4,6,0.62,12.68,89.7,0.2
2,6,7,5,6,9,10,7,4,5,5,4,1,2,8,4,4,3,3,6,0.505,13.73,86.29,0.2
2,4,11,4,4,7,6,5,5,3,4,4,2,1,8,7,6,4,4,4,0.475,15.99,81.4,1.7
9,6,10,5,4,3,3,5,2,10,4,3,5,9,5,11,4,5,3,3,0.545,10.8,95.07,1.7
6,6,4,5,8,5,5,7,8,6,5,10,4,4,9,4,6,5,2,4,0.565,13.41,90.19,0.4
6,5,4,2,6,6,7,3,7,3,1,2,5,4,5,6,11,5,8,0,0.48,12.38,88.24,0.4
7,1,5,4,5,3,2,3,5,3,11,6,0,7,4,5,4,8,4,2,0.445,15.03,84.82,1
2,4,5,7,3,5,3,4,4,7,5,2,2,3,6,4,9,6,7,2,0.45,12.59,89.7,1
7,5,4,2,5,7,6,7,2,3,4,3,3,4,4,9,9,3,6,2,0.475,12.27,92.14,0.9
5,7,6,6,4,5,5,3,7,3,6,5,2,6,9,5,2,6,10,10,0.56,14.68,86.77,0.9
9,7,2,2,2,1,4,8,10,4,7,7,4,4,5,7,6,4,7,4,0.52,14.62,99.96,1.3
3,2,4,12,5,5,3,7,4,3,8,1,8,4,4,4,8,6,3,8,0.51,11.11,99.96,1.3
7,4,11,4,8,3,8,4,4,5,6,5,3,4,4,6,2,4,2,9,0.515,11.25,92.14,2
7,2,6,8,4,2,9,4,6,4,3,2,4,13,8,6,5,8,7,4,0.56,15.54,71.15,2
5,2,3,7,7,6,9,3,4,6,5,10,8,5,5,9,6,6,2,5,0.565,20.1,99.96,0.5
6,5,5,3,6,8,4,6,2,7,3,11,4,3,7,7,5,5,5,10,0.56,10.38,96.05,0.5
6,4,5,8,6,2,0,4,3,6,0,6,5,4,6,7,5,4,4,7,0.46,19.63,49.18,10
5,5,2,6,6,5,6,6,8,6,5,5,4,4,3,3,3,3,6,2,0.465,12.08,91.66,10
5,6,7,5,4,3,4,8,4,5,5,3,3,4,5,5,6,4,3,5,0.47,11.23,99.96,1.2
5,8,8,7,6,5,7,10,4,2,5,5,6,5,3,0,3,7,5,2,0.515,18.92,99.96,1.2
6,8,10,3,6,7,9,3,8,2,9,4,4,2,5,10,4,3,3,3,0.545,10.75,99.96,3.5
5,4,8,3,3,4,5,8,8,8,5,3,7,4,3,8,4,6,9,5,0.55,8.05,99.96,3.5
10,7,5,3,4,8,6,2,6,4,3,8,3,9,4,10,4,4,5,10,0.575,9.46,96.54,2.8
2,5,7,5,4,3,2,1,3,5,4,6,6,3,4,6,2,4,3,8,0.415,8.3,96.05,2.8
2,6,2,5,0,4,4,6,7,8,6,6,2,4,7,5,2,4,8,2,0.45,10.22,99.96,2.4
4,12,7,8,4,9,2,6,4,4,5,2,10,4,8,7,3,6,5,5,0.575,8.64,99.96,2.4
5,5,0,2,3,4,8,3,5,1,10,7,3,5,2,5,11,5,4,5,0.465,9.52,98.49,3.6
5,6,3,6,7,3,4,4,3,6,3,9,6,4,5,6,3,2,1,8,0.47,19.58,54.55,3.6
4,4,0,8,8,5,10,2,3,6,5,10,3,6,8,8,3,4,5,6,0.54,10.18,95.07,0.4
6,5,1,7,7,7,3,8,6,2,3,5,11,12,8,5,11,3,4,4,0.59,12.38,76.03,0.4
4,11,3,2,3,5,6,4,7,13,8,4,7,7,8,7,5,6,3,7,0.6,17.74,99.96,3.8
7,4,6,9,6,5,6,8,6,3,3,1,2,5,6,6,8,7,1,4,0.515,13.24,73.1,3.8
5,2,5,3,5,7,5,2,7,4,5,5,2,4,3,5,3,4,7,9,0.46,10.57,99.96,1
4,5,7,3,5,7,5,1,4,2,4,5,3,3,9,3,7,8,3,8,0.48,9,99.96,1
1,4,5,4,0,2,5,8,3,2,8,4,4,3,5,11,6,5,8,6,0.47,9.67,98,0.9
9,5,6,4,2,4,5,1,6,2,9,3,4,3,3,4,4,7,9,6,0.48,12.65,80.43,0.9
6,5,7,9,1,4,6,5,6,4,3,7,3,2,2,5,1,2,1,5,0.42,7.33,99.96,10.2
7,5,8,6,3,5,2,4,8,8,2,6,6,4,5,7,3,5,4,1,0.495,15.1,74.57,10.2
4,3,5,4,4,4,3,6,5,11,4,3,3,4,4,8,4,7,4,4,0.47,10.69,95.56,8.2
4,5,4,5,6,4,5,4,5,6,5,5,8,4,4,4,9,7,2,9,0.525,19.59,55.04,8.2
3,6,5,7,1,3,8,5,9,8,5,5,7,2,3,3,8,5,6,3,0.51,8.49,99.96,7.2
6,5,5,4,8,8,9,2,4,6,6,4,5,8,3,9,8,8,6,5,0.595,6.75,99.96,7.2
8,5,6,4,7,2,4,6,4,9,3,13,5,3,10,9,3,5,4,8,0.59,16.99,99.96,6
4,3,5,7,6,5,1,2,5,8,6,7,3,5,7,2,5,5,2,2,0.45,13.38,69.2,6
7,2,7,7,8,7,1,3,1,2,6,9,9,4,4,1,4,1,8,4,0.475,15.81,75.05,0.6
4,6,4,0,7,6,9,10,4,4,9,6,3,3,2,5,3,3,8,7,0.515,6.5,99.96,0.6
5,1,6,0,6,5,6,8,4,5,5,10,3,4,5,8,5,7,2,3,0.49,18.72,62.36,0.4
4,5,6,5,1,6,4,10,4,2,3,9,5,4,5,4,1,4,2,5,0.445,8.4,98.49,0.4
2,8,1,4,9,7,7,4,7,6,5,2,8,6,15,7,8,4,6,7,0.615,16.09,69.2,14.2
6,6,4,5,8,3,4,5,13,4,2,3,4,5,8,6,6,5,6,4,0.535,6.83,96.05,14.2
4,1,1,5,5,2,5,10,6,7,4,1,9,3,6,3,3,4,4,4,0.435,6.57,99.96,12
3,7,8,3,1,3,3,5,4,6,9,8,4,8,4,1,5,5,6,2,0.475,7.57,99.96,12
7,3,3,4,4,4,5,5,6,2,4,4,2,6,5,8,10,8,9,6,0.525,14.05,69.68,29.6
6,5,2,4,3,7,4,5,2,6,4,8,9,5,8,5,7,4,8,3,0.525,6.3,99.96,29.6
6,5,7,3,3,6,2,6,8,5,7,5,6,3,5,5,1,7,5,2,0.485,4.41,99.96,26.6
4,5,4,2,9,6,5,6,5,10,4,4,3,5,14,7,4,1,6,4,0.54,5.25,99.96,26.6
8,4,6,7,10,5,2,4,5,4,7,8,5,9,3,5,9,5,3,4,0.565,13.07,72.61,3.7
7,6,3,6,9,3,4,11,5,3,3,9,5,5,5,1,5,8,5,6,0.545,16.02,99.96,3.7
5,5,6,7,4,3,3,4,2,5,5,7,3,5,6,7,5,6,3,6,0.485,4.65,99.96,2.4
2,5,6,11,6,8,4,7,6,5,5,0,2,9,7,4,4,8,2,7,0.54,9.81,81.4,2.4
3,4,7,6,6,4,6,7,7,6,2,5,1,3,5,7,2,2,7,1,0.455,15.8,99.96,5.2
5,5,8,5,7,4,4,4,5,4,3,11,5,4,4,9,6,2,7,5,0.535,12.95,99.96,5.2
10,9,2,5,5,6,4,8,6,5,2,3,2,6,4,1,6,16,5,2,0.535,5.2,99.96,2.8
7,8,4,6,7,5,9,5,5,7,6,4,3,4,3,4,2,9,6,3,0.535,19.62,53.08,2.8
3,6,6,6,1,10,2,3,5,10,4,4,4,8,7,4,7,6,2,3,0.505,12.65,99.96,23.4
10,5,4,4,3,2,5,3,4,6,3,1,8,0,3,2,5,7,8,5,0.44,5.14,99.96,23.4
7,7,5,6,3,5,5,3,7,8,0,5,4,5,4,4,7,3,6,3,0.485,8.73,99.96,18.4
4,4,10,5,7,6,1,2,3,2,3,4,5,3,7,9,4,2,2,4,0.435,9.22,91.17,18.4
6,8,7,6,5,8,11,5,5,6,5,2,5,5,5,4,6,6,9,3,0.585,19.61,53.08,22.4
3,4,5,3,5,6,5,4,6,4,3,3,6,5,6,2,1,4,8,5,0.44,8.24,99.96,22.4
6,3,1,2,5,4,3,9,8,3,3,2,5,3,3,5,1,4,5,6,0.405,26.88,58.45,11.6
7,8,3,4,3,3,3,1,3,5,3,6,5,9,3,6,8,5,2,6,0.465,8.64,82.87,11.6
8,3,9,6,6,5,5,4,5,6,5,4,4,6,6,11,5,6,7,4,0.575,20.6,69.2,27.8
8,8,6,3,4,10,3,9,2,7,4,5,5,4,7,6,5,6,7,2,0.555,9.7,88.73,27.8
2,8,1,4,3,4,4,7,5,9,5,3,6,5,4,2,9,6,5,3,0.475,8.08,84.33,15.6
8,4,6,5,4,8,6,5,4,7,3,4,5,8,2,5,3,8,2,6,0.515,7.65,90.19,15.6
6,3,5,8,9,4,6,11,2,8,3,4,6,7,2,4,7,4,2,5,0.53,8,82.38,1.7
3,5,2,3,3,4,3,3,5,5,5,4,5,6,6,0,8,7,4,1,0.41,13.34,91.66,1.7
4,3,8,7,14,3,2,6,3,4,6,8,6,7,2,4,5,7,7,6,0.56,7.74,94.1,1
4,5,1,7,8,4,5,8,3,3,6,8,6,5,6,2,4,4,8,5,0.51,7.37,87.26,1
8,7,6,6,7,2,5,7,10,4,6,8,5,5,2,7,9,6,2,4,0.58,7.56,86.77,0.5
4,2,5,6,7,3,4,2,5,3,4,3,6,6,5,2,6,6,4,9,0.46,13.4,99.96,0.5
6,6,5,2,4,6,5,5,5,3,3,5,6,6,5,2,4,3,2,2,0.425,19.58,48.69,1.4
5,4,4,2,4,4,1,6,5,2,7,4,6,2,4,2,2,1,5,6,0.38,8.46,85.31,1.4
3,3,2,9,5,7,4,6,7,6,7,6,2,4,8,4,6,9,4,4,0.53,13.47,99.96,3.4
5,6,5,9,5,3,1,7,4,6,5,7,4,7,6,5,7,2,4,5,0.515,5.35,99.96,3.4
3,5,5,3,3,2,3,6,6,3,5,1,5,4,6,7,4,2,6,3,0.41,19.17,81.89,0.6
5,6,6,9,7,4,2,6,5,4,9,2,5,4,5,5,11,7,6,4,0.56,17.77,72.13,0.6
1,6,5,4,6,5,3,6,7,0,6,3,7,5,5,4,6,5,10,7,0.505,10.58,86.29,0.2
6,3,4,3,5,6,6,3,3,3,9,8,6,11,4,7,5,5,6,1,0.52,19.55,48.2,0.2
4,8,7,5,7,3,1,3,7,4,7,7,3,6,4,7,7,4,7,6,0.535,5.23,96.05,2
7,8,5,7,2,3,3,4,3,6,8,8,7,4,3,4,4,7,2,2,0.485,10.07,95.56,2
7,7,4,4,5,5,7,10,4,6,3,4,5,2,5,3,5,4,7,3,0.5,11.11,86.29,0.6
1,5,4,5,3,4,1,3,5,6,5,3,6,3,5,2,4,4,3,4,0.38,11.19,85.8,0.6
6,5,5,6,0,5,2,4,5,6,7,7,10,8,13,7,5,5,3,7,0.58,11.58,94.59,13.6
5,5,8,7,4,7,5,7,9,5,3,7,4,6,5,6,3,7,7,6,0.58,11.75,85.8,13.6
5,0,5,6,8,3,5,3,1,3,4,3,10,3,5,7,3,3,5,8,0.45,11.16,86.77,4.5
3,7,4,5,2,4,4,13,6,5,5,3,5,7,3,5,6,1,4,5,0.485,11.21,95.07,4.5
4,5,3,5,1,6,4,3,5,6,5,7,3,5,5,2,6,5,5,6,0.455,11.29,95.56,2
4,4,7,11,6,5,7,8,3,5,3,8,10,9,8,1,0,8,6,8,0.605,11.51,87.26,2
6,2,5,2,6,9,7,7,6,5,2,5,6,6,2,9,9,9,3,8,0.57,11.36,91.17,1.2
3,4,4,8,7,4,6,5,4,2,4,7,5,3,8,3,4,3,4,6,0.47,11.17,95.07,1.2
9,3,8,2,7,5,7,8,6,4,3,6,6,5,7,6,2,4,5,3,0.53,19.59,52.11,1.4
1,3,3,3,2,10,6,3,4,3,6,6,8,6,5,9,2,3,4,4,0.455,11.45,89.7,1.4
5,5,2,4,6,5,6,7,3,3,4,6,4,9,3,2,2,5,6,5,0.46,11.25,86.77,24.6
1,5,4,8,5,10,3,8,2,5,5,4,5,5,3,6,6,5,9,6,0.525,11.31,95.07,24.6
3,3,0,4,7,7,4,5,5,5,3,3,5,3,1,7,3,8,4,3,0.415,8.38,99.96,14.8
5,3,2,5,4,0,8,3,7,4,9,5,12,1,8,4,6,10,7,7,0.55,11.55,93.61,14.8
6,7,5,7,5,4,4,2,3,5,6,4,2,3,2,4,5,10,5,5,0.47,19.62,51.62,2
5,4,4,7,10,6,2,5,3,6,4,2,2,6,3,3,3,6,4,5,0.45,11.2,86.29,2
7,3,5,5,6,6,3,6,5,6,10,7,3,5,6,4,5,9,5,1,0.535,11.38,95.07,0.3
3,1,7,4,3,4,7,7,4,6,10,5,8,6,13,5,5,5,6,11,0.6,22.9,56.99,0.3
5,4,4,5,8,2,5,8,4,5,6,4,5,3,2,7,7,9,6,5,0.52,9.04,99.96,7.4
4,10,2,5,5,4,7,7,2,3,7,5,5,4,3,1,8,5,7,9,0.515,20.9,74.57,7.4
8,5,5,1,10,5,4,3,6,7,9,10,4,4,4,5,10,11,4,6,0.605,19.59,51.62,4.8
3,5,1,4,2,6,4,4,4,3,5,1,3,12,4,6,2,1,5,2,0.385,13.38,99.96,4.8
1,6,4,9,7,3,4,5,5,1,7,7,6,6,3,3,4,2,7,7,0.485,11.74,86.29,21.2
2,3,3,4,5,4,7,7,2,3,8,8,7,5,5,2,4,5,7,3,0.47,26.42,62.36,21.2
6,5,4,7,5,8,3,9,8,7,4,7,9,3,7,4,2,5,6,5,0.57,27.29,52.11,20
5,6,7,4,5,5,5,3,5,5,7,7,11,7,4,5,5,5,7,5,0.565,11.41,99.96,20
6,5,8,9,6,6,2,10,1,4,5,3,6,4,5,4,5,7,5,4,0.525,9.09,98.98,0.3
2,9,7,5,4,9,7,6,4,6,3,2,5,6,7,7,12,4,7,6,0.59,23.65,63.34,0.3
5,6,4,2,6,6,8,4,8,6,12,8,4,5,6,7,6,3,7,10,0.615,16.88,77.98,16.4
4,3,7,6,5,2,5,2,1,2,7,7,5,5,1,3,6,3,4,2,0.4,12.9,83.84,16.4
5,4,9,7,5,4,6,6,4,4,8,9,3,3,6,7,2,4,6,2,0.52,13.88,84.82,8.6
5,8,3,6,3,2,8,3,5,3,7,8,8,7,5,4,2,4,9,7,0.535,19.62,52.59,8.6
3,5,4,7,7,2,3,5,9,3,4,7,5,3,5,1,4,3,3,2,0.425,15.15,77.5,4.8
10,4,3,5,6,8,2,7,7,7,7,5,3,6,2,8,5,6,3,6,0.55,26.49,56.5,4.8
10,8,7,3,6,4,3,4,6,5,9,7,4,2,3,3,2,5,5,4,0.5,12.37,83.36,2.8
4,5,2,4,5,1,7,5,7,5,4,5,7,6,5,5,7,4,8,7,0.515,15.96,78.47,2.8
8,6,7,2,3,4,5,4,4,6,4,4,6,13,4,8,2,1,7,6,0.52,19.62,57.48,9.8
5,4,4,10,8,2,3,7,1,6,2,3,1,3,2,7,2,5,8,7,0.45,15.8,75.05,9.8
5,2,4,6,5,8,5,3,7,4,7,7,7,8,5,2,4,1,1,6,0.485,29.46,49.66,3.4
7,5,1,4,6,3,10,6,3,4,5,4,4,4,4,3,3,7,5,5,0.465,21.33,68.71,3.4
8,5,4,7,5,5,5,4,9,5,8,1,7,9,4,2,6,5,8,6,0.565,19.59,53.08,65.7
1,5,5,10,4,5,6,2,3,3,8,3,5,3,4,5,6,3,13,7,0.505,19.62,53.08,65.7
5,7,3,4,10,3,4,5,5,6,3,4,4,6,5,8,5,4,10,4,0.525,29.4,40.39,55.9
4,5,4,6,7,5,8,4,6,2,2,6,6,4,4,2,8,1,6,13,0.515,19.75,57.48,55.9
8,3,4,2,5,3,6,6,5,5,2,4,3,7,5,1,3,5,1,5,0.415,14.63,86.77,8.6
9,3,6,9,4,6,11,7,6,3,3,10,3,7,4,3,9,2,3,5,0.565,30.07,49.18,8.6
8,4,9,8,5,4,9,4,3,12,9,6,2,3,7,6,7,7,8,3,0.62,18.1,99.96,4.8
0,4,3,2,9,3,5,7,4,10,7,6,5,3,4,4,5,9,6,6,0.51,27.6,48.69,4.8
5,3,0,4,6,4,3,3,4,6,1,3,7,8,3,7,6,1,2,4,0.4,24.2,47.22,1.6
4,8,5,4,3,3,4,5,8,7,4,3,2,7,6,9,5,4,5,8,0.52,27.15,43.8,1.6
5,2,9,3,8,7,4,2,1,6,6,6,6,8,7,5,6,5,3,6,0.525,23.98,62.36,2.7
3,5,9,0,9,6,9,6,4,4,5,6,8,4,7,8,4,6,6,5,0.57,14.5,99.96,2.7
3,3,4,5,6,7,5,2,7,6,3,3,3,7,2,3,5,5,7,4,0.45,19.71,57.48,41.4
9,4,4,5,4,4,4,7,7,7,10,3,9,3,8,4,4,2,8,4,0.55,28.46,41.36,41.4
4,2,5,1,3,3,3,11,1,4,7,3,5,2,0,4,2,5,6,5,0.38,23.95,63.82,23.2
6,6,6,8,3,1,7,4,6,4,5,3,4,4,9,3,3,4,7,6,0.495,16.28,99.96,23.2
6,7,4,6,4,6,6,4,4,7,4,5,1,6,3,7,2,6,5,3,0.48,12.49,78.96,35.8
5,2,5,7,4,4,4,7,9,2,4,4,4,2,6,2,5,5,5,2,0.44,16.06,81.4,35.8
4,3,1,4,6,2,4,3,6,4,1,5,4,2,6,7,9,4,6,2,0.415,15.62,74.57,27.8
7,3,5,5,4,5,5,5,2,10,5,6,2,6,4,9,7,5,1,3,0.495,14.52,77.01,27.8
4,9,6,2,5,6,3,5,0,2,4,5,7,4,6,4,9,3,8,4,0.48,14.63,99.96,0.2
3,4,9,4,2,8,6,6,5,2,5,3,4,6,8,6,6,3,7,6,0.515,21.65,36.97,0.2
6,4,10,7,9,5,4,8,6,3,4,3,4,6,4,7,9,3,3,5,0.55,16.07,99.96,22.2
8,6,9,5,7,5,4,5,5,3,7,6,8,3,7,6,4,5,5,4,0.56,15.72,99.96,22.2
3,2,5,5,7,6,6,4,8,9,7,6,2,4,6,5,7,3,3,2,0.5,21.98,57.48,14.4
8,5,1,8,5,7,6,9,5,4,8,4,4,2,9,5,6,7,7,8,0.59,19.69,51.13,14.4
10,2,8,3,4,6,7,6,2,7,7,6,7,4,6,8,4,3,6,6,0.56,15.19,84.33,1.8
1,6,3,3,5,5,3,3,2,10,9,5,6,3,4,7,7,7,10,4,0.515,15.85,82.87,1.8
