District,Station,Rainfall,Date
Chennai,Chennai port trust,13.4,22-07-1993
Chennai,Chennai port trust,13.4,22-07-1993
Chennai,Chennai port trust,2.2,23-07-1993
Chennai,Chennai port trust,2.2,23-07-1993
Chennai,Sholinganallur,2,23-07-1993
Chennai,Chennai nungambakkam,2,23-07-1993
Chennai,Sholinganallur,7.4,24-07-1993
Chennai,Chennai nungambakkam,7.4,24-07-1993
Chennai,Chennai port trust,5.4,24-07-1993
Chennai,Chennai port trust,5.4,24-07-1993
Chennai,Chennai port trust,3.4,25-07-1993
Chennai,Chennai port trust,3.4,25-07-1993
Chennai,Sholinganallur,3.3,25-07-1993
Chennai,Chennai nungambakkam,3.3,25-07-1993
Chennai,Sholinganallur,3.2,26-07-1993
Chennai,Chennai nungambakkam,3.2,26-07-1993
Chennai,Chennai port trust,1,27-07-1993
Chennai,Chennai port trust,1,27-07-1993
Chennai,Sholinganallur,0.2,27-07-1993
Chennai,Chennai nungambakkam,0.2,27-07-1993
Chennai,Sholinganallur,1.7,28-07-1993
Chennai,Chennai nungambakkam,1.7,28-07-1993
Chennai,Chennai port trust,0.4,28-07-1993
Chennai,Chennai port trust,0.4,28-07-1993
Chennai,Chennai port trust,1,30-07-1993
Chennai,Chennai port trust,1,30-07-1993
Chennai,Sholinganallur,0.9,30-07-1993
Chennai,Chennai nungambakkam,0.9,30-07-1993
Chennai,Sholinganallur,1.3,01-08-1993
Chennai,Chennai nungambakkam,1.3,01-08-1993
Chennai,Chennai port trust,2,04-08-1993
Chennai,Chennai port trust,2,04-08-1993
Chennai,Sholinganallur,0.5,04-08-1993
Chennai,Chennai nungambakkam,0.5,04-08-1993
Chennai,Sholinganallur,10,06-08-1993
Chennai,Chennai nungambakkam,10,06-08-1993
Chennai,Chennai port trust,1.2,06-08-1993
Chennai,Chennai port trust,1.2,06-08-1993
Chennai,Sholinganallur,3.5,08-08-1993
Chennai,Chennai nungambakkam,3.5,08-08-1993
Chennai,Chennai port trust,2.8,09-08-1993
Chennai,Chennai port trust,2.8,09-08-1993
Chennai,Sholinganallur,2.4,09-08-1993
Chennai,Chennai nungambakkam,2.4,09-08-1993
Chennai,Sholinganallur,3.6,11-08-1993
Chennai,Chennai nungambakkam,3.6,11-08-1993
Chennai,Chennai port trust,0.4,11-08-1993
Chennai,Chennai port trust,0.4,11-08-1993
Chennai,Sholinganallur,3.8,13-08-1993
Chennai,Chennai nungambakkam,3.8,13-08-1993
Chennai,Chennai port trust,1,13-08-1993
Chennai,Chennai port trust,1,13-08-1993
Chennai,Sholinganallur,0.9,14-08-1993
Chennai,Chennai nungambakkam,0.9,14-08-1993
Chennai,Sholinganallur,10.2,15-08-1993
Chennai,Chennai nungambakkam,10.2,15-08-1993
Chennai,Chennai port trust,8.2,15-08-1993
Chennai,Chennai port trust,8.2,15-08-1993
Chennai,Sholinganallur,7.2,16-08-1993
Chennai,Chennai nungambakkam,7.2,16-08-1993
Chennai,Chennai port trust,6,16-08-1993
Chennai,Chennai port trust,6,16-08-1993
Chennai,Sholinganallur,0.6,17-08-1993
Chennai,Chennai nungambakkam,0.6,17-08-1993
Chennai,Chennai port trust,0.4,17-08-1993
Chennai,Chennai port trust,0.4,17-08-1993
Chennai,Sholinganallur,14.2,18-08-1993
Chennai,Chennai nungambakkam,14.2,18-08-1993
Chennai,Chennai port trust,12,18-08-1993
Chennai,Chennai port trust,12,18-08-1993
Chennai,Chennai port trust,29.6,23-08-1993
Chennai,Chennai port trust,29.6,23-08-1993
Chennai,Sholinganallur,26.6,23-08-1993
Chennai,Chennai nungambakkam,26.6,23-08-1993
Chennai,Sholinganallur,3.7,26-08-1993
Chennai,Chennai nungambakkam,3.7,26-08-1993
Chennai,Chennai port trust,2.4,26-08-1993
Chennai,Chennai port trust,2.4,26-08-1993
Chennai,Sholinganallur,5.2,27-08-1993
Chennai,Chennai nungambakkam,5.2,27-08-1993
Chennai,Chennai port trust,2.8,27-08-1993
Chennai,Chennai port trust,2.8,27-08-1993
Chennai,Chennai port trust,23.4,30-08-1993
Chennai,Chennai port trust,23.4,30-08-1993
Chennai,Sholinganallur,18.4,30-08-1993
Chennai,Chennai nungambakkam,18.4,30-08-1993
Chennai,Chennai port trust,22.4,01-09-1993
Chennai,Chennai port trust,22.4,01-09-1993
Chennai,Sholinganallur,11.6,01-09-1993
Chennai,Chennai nungambakkam,11.6,01-09-1993
Chennai,Sholinganallur,27.8,04-09-1993
Chennai,Chennai nungambakkam,27.8,04-09-1993
Chennai,Chennai port trust,15.6,04-09-1993
Chennai,Chennai port trust,15.6,04-09-1993
Chennai,Sholinganallur,1.7,05-09-1993
Chennai,Chennai nungambakkam,1.7,05-09-1993
Chennai,Chennai port trust,1,06-09-1993
Chennai,Chennai port trust,1,06-09-1993
Chennai,Sholinganallur,0.5,06-09-1993
Chennai,Chennai nungambakkam,0.5,06-09-1993
Chennai,Sholinganallur,1.4,12-09-1993
Chennai,Chennai nungambakkam,1.4,12-09-1993
Chennai,Sholinganallur,3.4,15-09-1993
Chennai,Chennai nungambakkam,3.4,15-09-1993
Chennai,Chennai port trust,0.6,16-09-1993
Chennai,Chennai port trust,0.6,16-09-1993
Chennai,Sholinganallur,0.2,16-09-1993
Chennai,Chennai nungambakkam,0.2,16-09-1993
Chennai,Chennai port trust,2,18-09-1993
Chennai,Chennai port trust,2,18-09-1993
Chennai,Sholinganallur,0.6,18-09-1993
Chennai,Chennai nungambakkam,0.6,18-09-1993
Chennai,Chennai port trust,13.6,20-09-1993
Chennai,Chennai port trust,13.6,20-09-1993
Chennai,Sholinganallur,4.5,20-09-1993
Chennai,Chennai nungambakkam,4.5,20-09-1993
Chennai,Chennai port trust,2,24-09-1993
Chennai,Chennai port trust,2,24-09-1993
Chennai,Sholinganallur,1.2,24-09-1993
Chennai,Chennai nungambakkam,1.2,24-09-1993
Chennai,Sholinganallur,1.4,02-10-1993
Chennai,Chennai nungambakkam,1.4,02-10-1993
Chennai,Sholinganallur,24.6,03-10-1993
Chennai,Chennai nungambakkam,24.6,03-10-1993
Chennai,Chennai port trust,14.8,03-10-1993
Chennai,Chennai port trust,14.8,03-10-1993
Chennai,Chennai port trust,2,04-10-1993
Chennai,Chennai port trust,2,04-10-1993
Chennai,Sholinganallur,0.3,04-10-1993
Chennai,Chennai nungambakkam,0.3,04-10-1993
Chennai,Chennai port trust,7.4,07-10-1993
Chennai,Chennai port trust,7.4,07-10-1993
Chennai,Sholinganallur,4.8,07-10-1993
Chennai,Chennai nungambakkam,4.8,07-10-1993
Chennai,Chennai port trust,21.2,09-10-1993
Chennai,Chennai port trust,21.2,09-10-1993
Chennai,Sholinganallur,20,09-10-1993
Chennai,Chennai nungambakkam,20,09-10-1993
Chennai,Sholinganallur,0.3,11-10-1993
Chennai,Chennai nungambakkam,0.3,11-10-1993
Chennai,Chennai port trust,16.4,12-10-1993
Chennai,Chennai port trust,16.4,12-10-1993
Chennai,Sholinganallur,8.6,12-10-1993
Chennai,Chennai nungambakkam,8.6,12-10-1993
Chennai,Sholinganallur,4.8,13-10-1993
Chennai,Chennai nungambakkam,4.8,13-10-1993
Chennai,Chennai port trust,2.8,13-10-1993
Chennai,Chennai port trust,2.8,13-10-1993
Chennai,Sholinganallur,9.8,14-10-1993
Chennai,Chennai nungambakkam,9.8,14-10-1993
Chennai,Chennai port trust,3.4,14-10-1993
Chennai,Chennai port trust,3.4,14-10-1993
Chennai,Chennai port trust,65.7,15-10-1993
Chennai,Chennai port trust,65.7,15-10-1993
Chennai,Sholinganallur,55.9,15-10-1993
Chennai,Chennai nungambakkam,55.9,15-10-1993
Chennai,Chennai port trust,8.6,16-10-1993
Chennai,Chennai port trust,8.6,16-10-1993
Chennai,Sholinganallur,4.8,16-10-1993
Chennai,Chennai nungambakkam,4.8,16-10-1993
Chennai,Sholinganallur,1.6,17-10-1993
Chennai,Chennai nungambakkam,1.6,17-10-1993
Chennai,Sholinganallur,2.7,18-10-1993
Chennai,Chennai nungambakkam,2.7,18-10-1993
Chennai,Sholinganallur,41.4,19-10-1993
Chennai,Chennai nungambakkam,41.4,19-10-1993
Chennai,Chennai port trust,23.2,19-10-1993
Chennai,Chennai port trust,23.2,19-10-1993
Chennai,Chennai port trust,35.8,20-10-1993
Chennai,Chennai port trust,35.8,20-10-1993
Chennai,Sholinganallur,27.8,20-10-1993
Chennai,Chennai nungambakkam,27.8,20-10-1993
Chennai,Sholinganallur,0.2,21-10-1993
Chennai,Chennai nungambakkam,0.2,21-10-1993
Chennai,Chennai port trust,22.2,22-10-1993
Chennai,Chennai port trust,22.2,22-10-1993
Chennai,Sholinganallur,14.4,22-10-1993
Chennai,Chennai nungambakkam,14.4,22-10-1993
Chennai,Sholinganallur,1.8,23-10-1993
Chennai,Chennai nungambakkam,1.8,23-10-1993
Chennai,Chennai port trust,7.5,30-10-1993
Chennai,Chennai port trust,7.5,30-10-1993
Chennai,Sholinganallur,5.1,30-10-1993
Chennai,Chennai nungambakkam,5.1,30-10-1993
Chennai,Sholinganallur,27.8,31-10-1993
Chennai,Chennai nungambakkam,27.8,31-10-1993
Chennai,Chennai port trust,10.2,31-10-1993
Chennai,Chennai port trust,10.2,31-10-1993
Chennai,Chennai port trust,8.4,01-11-1993
Chennai,Chennai port trust,8.4,01-11-1993
Chennai,Sholinganallur,6.7,01-11-1993
Chennai,Chennai nungambakkam,6.7,01-11-1993
Chennai,Sholinganallur,23,02-11-1993
Chennai,Chennai nungambakkam,23,02-11-1993
Chennai,Chennai port trust,19,02-11-1993
Chennai,Chennai port trust,19,02-11-1993
Chennai,Sholinganallur,38,03-11-1993
Chennai,Chennai nungambakkam,38,03-11-1993
Chennai,Chennai port trust,17.2,03-11-1993
Chennai,Chennai port trust,17.2,03-11-1993
Chennai,Sholinganallur,6.8,04-11-1993
Chennai,Chennai nungambakkam,6.8,04-11-1993
Chennai,Chennai port trust,5,04-11-1993
Chennai,Chennai port trust,5,04-11-1993
Chennai,Sholinganallur,16.1,05-11-1993
Chennai,Chennai nungambakkam,16.1,05-11-1993
Chennai,Chennai port trust,5.2,05-11-1993
Chennai,Chennai port trust,5.2,05-11-1993
Chennai,Chennai port trust,9,06-11-1993
Chennai,Chennai port trust,9,06-11-1993
Chennai,Sholinganallur,3.3,06-11-1993
Chennai,Chennai nungambakkam,3.3,06-11-1993
Chennai,Chennai port trust,10.2,07-11-1993
Chennai,Chennai port trust,10.2,07-11-1993
Chennai,Sholinganallur,2.8,07-11-1993
Chennai,Chennai nungambakkam,2.8,07-11-1993
Chennai,Chennai port trust,12.4,08-11-1993
Chennai,Chennai port trust,12.4,08-11-1993
Chennai,Sholinganallur,23.2,09-11-1993
Chennai,Chennai nungambakkam,23.2,09-11-1993
Chennai,Chennai port trust,6,09-11-1993
Chennai,Chennai port trust,6,09-11-1993
Chennai,Sholinganallur,61.9,10-11-1993
Chennai,Chennai nungambakkam,61.9,10-11-1993
Chennai,Chennai port trust,50.7,10-11-1993
Chennai,Chennai port trust,50.7,10-11-1993
Chennai,Sholinganallur,28,11-11-1993
Chennai,Chennai nungambakkam,28,11-11-1993
Chennai,Chennai port trust,20.5,11-11-1993
Chennai,Chennai port trust,20.5,11-11-1993
Chennai,Sholinganallur,14.6,12-11-1993
Chennai,Chennai nungambakkam,14.6,12-11-1993
Chennai,Chennai port trust,13,13-11-1993
Chennai,Chennai port trust,13,13-11-1993
Chennai,Sholinganallur,8.8,13-11-1993
Chennai,Chennai nungambakkam,8.8,13-11-1993
Chennai,Chennai port trust,1.6,15-11-1993
Chennai,Chennai port trust,1.6,15-11-1993
Chennai,Sholinganallur,0.7,15-11-1993
Chennai,Chennai nungambakkam,0.7,15-11-1993
Chennai,Chennai port trust,50.2,16-11-1993
Chennai,Chennai port trust,50.2,16-11-1993
Chennai,Sholinganallur,46.6,16-11-1993
Chennai,Chennai nungambakkam,46.6,16-11-1993
Chennai,Sholinganallur,3.2,22-11-1993
Chennai,Chennai nungambakkam,3.2,22-11-1993
Chennai,Sholinganallur,1.4,23-11-1993
Chennai,Chennai nungambakkam,1.4,23-11-1993
Chennai,Sholinganallur,62.8,24-11-1993
Chennai,Chennai nungambakkam,62.8,24-11-1993
Chennai,Chennai port trust,50.6,24-11-1993
Chennai,Chennai port trust,50.6,24-11-1993
Chennai,Chennai port trust,8.4,25-11-1993
Chennai,Chennai port trust,8.4,25-11-1993
Chennai,Sholinganallur,7.2,25-11-1993
Chennai,Chennai nungambakkam,7.2,25-11-1993
Chennai,Chennai port trust,65.2,01-12-1993
Chennai,Chennai port trust,65.2,01-12-1993
Chennai,Sholinganallur,64.9,01-12-1993
Chennai,Chennai nungambakkam,64.9,01-12-1993
Chennai,Chennai port trust,33.2,02-12-1993
Chennai,Chennai port trust,33.2,02-12-1993
Chennai,Sholinganallur,31.9,02-12-1993
Chennai,Chennai nungambakkam,31.9,02-12-1993
Chennai,Chennai port trust,76.6,04-12-1993
Chennai,Chennai port trust,76.6,04-12-1993
Chennai,Sholinganallur,73.1,04-12-1993
Chennai,Chennai nungambakkam,73.1,04-12-1993
Chennai,Sholinganallur,22.1,05-12-1993
Chennai,Chennai nungambakkam,22.1,05-12-1993
Chennai,Chennai port trust,14,05-12-1993
Chennai,Chennai port trust,14,05-12-1993
Chennai,Chennai port trust,9.2,06-12-1993
Chennai,Chennai port trust,9.2,06-12-1993
Chennai,Sholinganallur,1.9,06-12-1993
Chennai,Chennai nungambakkam,1.9,06-12-1993
Chennai,Chennai port trust,1.6,07-12-1993
Chennai,Chennai port trust,1.6,07-12-1993
Chennai,Sholinganallur,0.9,07-12-1993
Chennai,Chennai nungambakkam,0.9,07-12-1993
Chennai,Sholinganallur,0.1,11-12-1993
Chennai,Chennai nungambakkam,0.1,11-12-1993
Chennai,Sholinganallur,28.8,20-12-1993
Chennai,Chennai nungambakkam,28.8,20-12-1993
Chennai,Chennai port trust,28.4,20-12-1993
Chennai,Chennai port trust,28.4,20-12-1993
Chennai,Chennai port trust,9.2,21-12-1993
Chennai,Chennai port trust,9.2,21-12-1993
Chennai,Sholinganallur,8.8,21-12-1993
Chennai,Chennai nungambakkam,8.8,21-12-1993
Chennai,Sholinganallur,39.4,22-12-1993
Chennai,Chennai nungambakkam,39.4,22-12-1993
Chennai,Chennai port trust,35.6,22-12-1993
Chennai,Chennai port trust,35.6,22-12-1993
Chennai,Sholinganallur,1,23-12-1993
Chennai,Chennai port trust,1,23-12-1993
Chennai,Chennai port trust,1,23-12-1993
Chennai,Chennai nungambakkam,1,23-12-1993
Chennai,Sholinganallur,10.8,28-12-1993
Chennai,Chennai nungambakkam,10.8,28-12-1993
Chennai,Chennai port trust,8,28-12-1993
Chennai,Chennai port trust,8,28-12-1993
Chennai,Alandur,7,29-01-1994
Chennai,Alandur,7.2,06-02-1994
Chennai,Alandur,27.2,07-02-1994
Chennai,Alandur,5.5,12-02-1994
Chennai,Alandur,24.5,13-02-1994
Chennai,Alandur,10,14-02-1994
Chennai,Alandur,2,15-02-1994
Chennai,Alandur,15.5,16-02-1994
Chennai,Alandur,245.5,17-02-1994
Chennai,Alandur,5,18-02-1994
Chennai,Alandur,5,05-03-1994
Chennai,Chennai nungambakkam,0.8,25-05-1994
Chennai,Chennai nungambakkam,0.8,25-05-1994
Chennai,Chennai port trust,72,26-05-1994
Chennai,Chennai port trust,72,26-05-1994
Chennai,Chennai nungambakkam,68.4,26-05-1994
Chennai,Chennai nungambakkam,68.4,26-05-1994
Chennai,Chennai port trust,1.6,27-05-1994
Chennai,Chennai port trust,1.6,27-05-1994
Chennai,Chennai nungambakkam,1.2,27-05-1994
Chennai,Chennai nungambakkam,1.2,27-05-1994
Chennai,Chennai nungambakkam,50.6,10-06-1994
Chennai,Chennai nungambakkam,50.6,10-06-1994
Chennai,Chennai port trust,37.2,10-06-1994
Chennai,Chennai port trust,37.2,10-06-1994
Chennai,Chennai nungambakkam,2.2,11-06-1994
Chennai,Chennai nungambakkam,2.2,11-06-1994
Chennai,Alandur,1.5,11-06-1994
Chennai,Chennai nungambakkam,0.7,12-06-1994
Chennai,Chennai nungambakkam,0.7,12-06-1994
Chennai,Alandur,32.5,18-06-1994
Chennai,Chennai port trust,1,18-06-1994
Chennai,Chennai port trust,1,18-06-1994
Chennai,Chennai nungambakkam,0.6,18-06-1994
Chennai,Chennai nungambakkam,0.6,18-06-1994
Chennai,Chennai nungambakkam,0.7,19-06-1994
Chennai,Chennai nungambakkam,0.7,19-06-1994
Chennai,Chennai port trust,0.3,20-06-1994
Chennai,Chennai port trust,0.3,20-06-1994
Chennai,Chennai nungambakkam,0.2,20-06-1994
Chennai,Chennai nungambakkam,0.2,20-06-1994
Chennai,Chennai port trust,1.2,24-06-1994
Chennai,Chennai port trust,1.2,24-06-1994
Chennai,Chennai nungambakkam,1.2,24-06-1994
Chennai,Chennai nungambakkam,1.2,24-06-1994
Chennai,Alandur,10.2,25-06-1994
Chennai,Alandur,5.5,26-06-1994
Chennai,Chennai port trust,6.6,27-06-1994
Chennai,Chennai port trust,6.6,27-06-1994
Chennai,Chennai nungambakkam,3.3,27-06-1994
Chennai,Chennai nungambakkam,3.3,27-06-1994
Chennai,Alandur,9,28-06-1994
Chennai,Chennai port trust,0.5,28-06-1994
Chennai,Chennai port trust,0.5,28-06-1994
Chennai,Alandur,12.5,30-06-1994
Chennai,Alandur,3.1,07-07-1994
Chennai,Alandur,35.5,08-07-1994
Chennai,Alandur,15.5,09-07-1994
Chennai,Alandur,3.5,10-07-1994
Chennai,Alandur,20.5,12-07-1994
Chennai,Alandur,10,17-07-1994
Chennai,Alandur,17,19-07-1994
Chennai,Alandur,21.5,21-07-1994
Chennai,Alandur,26,22-07-1994
Chennai,Alandur,82.5,24-07-1994
Chennai,Alandur,47.5,25-07-1994
Chennai,Alandur,5,26-07-1994
Chennai,Alandur,3,27-07-1994
Chennai,Alandur,7.5,28-07-1994
Chennai,Alandur,3.5,30-07-1994
Chennai,Alandur,7,02-08-1994
Chennai,Chennai port trust,1,02-08-1994
Chennai,Chennai port trust,1,02-08-1994
Chennai,Chennai nungambakkam,0.5,02-08-1994
Chennai,Chennai nungambakkam,0.5,02-08-1994
Chennai,Chennai nungambakkam,0.4,05-08-1994
Chennai,Chennai nungambakkam,0.4,05-08-1994
Chennai,Chennai nungambakkam,0.6,06-08-1994
Chennai,Chennai nungambakkam,0.6,06-08-1994
Chennai,Alandur,7.2,08-08-1994
Chennai,Chennai nungambakkam,4.6,12-08-1994
Chennai,Chennai nungambakkam,4.6,12-08-1994
Chennai,Chennai port trust,3,12-08-1994
Chennai,Chennai port trust,3,12-08-1994
Chennai,Chennai port trust,1,13-08-1994
Chennai,Chennai port trust,1,13-08-1994
Chennai,Chennai nungambakkam,0.1,13-08-1994
Chennai,Chennai nungambakkam,0.1,13-08-1994
Chennai,Chennai port trust,28,17-08-1994
Chennai,Chennai port trust,28,17-08-1994
Chennai,Chennai nungambakkam,27.8,17-08-1994
Chennai,Chennai nungambakkam,27.8,17-08-1994
Chennai,Chennai nungambakkam,0.4,19-08-1994
Chennai,Chennai nungambakkam,0.4,19-08-1994
Chennai,Alandur,2,20-08-1994
Chennai,Chennai port trust,19.3,22-08-1994
Chennai,Chennai port trust,19.3,22-08-1994
Chennai,Chennai nungambakkam,19.2,22-08-1994
Chennai,Chennai nungambakkam,19.2,22-08-1994
Chennai,Chennai port trust,14.2,23-08-1994
Chennai,Chennai port trust,14.2,23-08-1994
Chennai,Chennai nungambakkam,13.2,23-08-1994
Chennai,Chennai nungambakkam,13.2,23-08-1994
Chennai,Alandur,10.3,24-08-1994
Chennai,Chennai nungambakkam,23.2,25-08-1994
Chennai,Chennai nungambakkam,23.2,25-08-1994
Chennai,Chennai port trust,21.3,25-08-1994
Chennai,Chennai port trust,21.3,25-08-1994
Chennai,Chennai nungambakkam,8.5,26-08-1994
Chennai,Chennai nungambakkam,8.5,26-08-1994
Chennai,Chennai port trust,8,26-08-1994
Chennai,Chennai port trust,8,26-08-1994
Chennai,Chennai nungambakkam,6,27-08-1994
Chennai,Chennai nungambakkam,6,27-08-1994
Chennai,Chennai port trust,5.2,27-08-1994
Chennai,Chennai port trust,5.2,27-08-1994
Chennai,Alandur,4.3,29-08-1994
Chennai,Chennai port trust,3.5,01-09-1994
Chennai,Chennai port trust,3.5,01-09-1994
Chennai,Chennai nungambakkam,2.8,01-09-1994
Chennai,Chennai nungambakkam,2.8,01-09-1994
Chennai,Chennai nungambakkam,0.7,03-09-1994
Chennai,Chennai nungambakkam,0.7,03-09-1994
Chennai,Chennai nungambakkam,0.4,08-09-1994
Chennai,Chennai nungambakkam,0.4,08-09-1994
Chennai,Alandur,1.2,09-09-1994
Chennai,Alandur,1,10-09-1994
Chennai,Chennai nungambakkam,1,11-09-1994
Chennai,Chennai nungambakkam,1,11-09-1994
Chennai,Chennai nungambakkam,7.3,13-09-1994
Chennai,Chennai nungambakkam,7.3,13-09-1994
Chennai,Chennai port trust,4.3,13-09-1994
Chennai,Chennai port trust,4.3,13-09-1994
Chennai,Chennai nungambakkam,30.2,14-09-1994
Chennai,Chennai nungambakkam,30.2,14-09-1994
Chennai,Chennai port trust,21.5,14-09-1994
Chennai,Chennai port trust,21.5,14-09-1994
Chennai,Alandur,8.2,18-09-1994
Chennai,Alandur,10,19-09-1994
Chennai,Chennai nungambakkam,1.8,23-09-1994
Chennai,Chennai nungambakkam,1.8,23-09-1994
Chennai,Chennai port trust,1,23-09-1994
Chennai,Chennai port trust,1,23-09-1994
Chennai,Alandur,30.2,25-09-1994
Chennai,Alandur,1,26-09-1994
Chennai,Alandur,13,27-09-1994
Chennai,Alandur,53,28-09-1994
Chennai,Alandur,145,29-09-1994
Chennai,Chennai port trust,1.4,30-09-1994
Chennai,Chennai port trust,1.4,30-09-1994
Chennai,Chennai nungambakkam,0.7,30-09-1994
Chennai,Chennai nungambakkam,0.7,30-09-1994
Chennai,Alandur,1.5,01-10-1994
Chennai,Alandur,5,02-10-1994
Chennai,Alandur,35.5,03-10-1994
Chennai,Chennai nungambakkam,9.6,03-10-1994
Chennai,Chennai nungambakkam,9.6,03-10-1994
Chennai,Chennai port trust,7.2,03-10-1994
Chennai,Chennai port trust,7.2,03-10-1994
Chennai,Chennai nungambakkam,5,04-10-1994
Chennai,Chennai nungambakkam,5,04-10-1994
Chennai,Alandur,4,04-10-1994
Chennai,Chennai port trust,9.4,05-10-1994
Chennai,Chennai port trust,9.4,05-10-1994
Chennai,Chennai nungambakkam,8.7,05-10-1994
Chennai,Chennai nungambakkam,8.7,05-10-1994
Chennai,Alandur,5,06-10-1994
Chennai,Alandur,2,07-10-1994
Chennai,Alandur,30.5,09-10-1994
Chennai,Chennai nungambakkam,2.1,15-10-1994
Chennai,Chennai nungambakkam,2.1,15-10-1994
Chennai,Chennai port trust,1.4,17-10-1994
Chennai,Chennai port trust,1.4,17-10-1994
Chennai,Chennai nungambakkam,1.2,17-10-1994
Chennai,Chennai nungambakkam,1.2,17-10-1994
Chennai,Chennai nungambakkam,8,18-10-1994
Chennai,Chennai nungambakkam,8,18-10-1994
Chennai,Chennai port trust,7.8,18-10-1994
Chennai,Chennai port trust,7.8,18-10-1994
Chennai,Chennai nungambakkam,11.6,19-10-1994
Chennai,Chennai nungambakkam,11.6,19-10-1994
Chennai,Chennai port trust,8.7,19-10-1994
Chennai,Chennai port trust,8.7,19-10-1994
Chennai,Chennai nungambakkam,4.1,20-10-1994
Chennai,Chennai nungambakkam,4.1,20-10-1994
Chennai,Chennai port trust,0.5,20-10-1994
Chennai,Chennai port trust,0.5,20-10-1994
Chennai,Chennai port trust,9,22-10-1994
Chennai,Chennai port trust,9,22-10-1994
Chennai,Chennai nungambakkam,4.6,22-10-1994
Chennai,Chennai nungambakkam,4.6,22-10-1994
Chennai,Alandur,5,26-10-1994
Chennai,Chennai nungambakkam,1.4,26-10-1994
Chennai,Chennai nungambakkam,1.4,26-10-1994
Chennai,Chennai port trust,0.6,26-10-1994
Chennai,Chennai port trust,0.6,26-10-1994
Chennai,Chennai nungambakkam,15,27-10-1994
Chennai,Chennai nungambakkam,15,27-10-1994
Chennai,Chennai port trust,7.5,27-10-1994
Chennai,Chennai port trust,7.5,27-10-1994
Chennai,Chennai nungambakkam,41.8,28-10-1994
Chennai,Chennai nungambakkam,41.8,28-10-1994
Chennai,Chennai port trust,27.8,28-10-1994
Chennai,Chennai port trust,27.8,28-10-1994
Chennai,Chennai nungambakkam,5.6,29-10-1994
Chennai,Chennai nungambakkam,5.6,29-10-1994
Chennai,Chennai port trust,4.2,29-10-1994
Chennai,Chennai port trust,4.2,29-10-1994
